流水号	 条形码        商品名称   	单价	  数量	收银员      销售时间
=====	=======	=====	====	===		====	=====
201511280002      444555      笔记本电脑      4500.0      5      陈序彪      2015-11-28 17:14:30.0      
201511280003      000001      笔记本      2.0      2      陈序彪      2015-11-28 17:27:21.0      
201511280004      000002      苹果      3.0      3      陈序彪      2015-11-28 17:27:29.0      
201511280005      000001      笔记本      2.0      2      陈序彪      2015-11-28 17:41:37.0      
201511280006      000001      笔记本      2.0      5      陈序彪      2015-11-28 18:27:25.0      
201511300001      000001      笔记本      2.0      2      陈序彪      2015-11-30 15:04:58.0      
201511300002      000002      苹果      3.0      3      陈序彪      2015-11-30 21:11:31.0      
201512020001      000006      牛奶      5.0      3      陈序彪      2015-12-02 14:33:59.0      
201512020002      000006      牛奶      5.0      2      陈序彪      2015-12-02 15:02:30.0      
201512020003      000001      笔记本      2.0      3      陈序彪      2015-12-02 15:02:42.0      
201512030001      000003      卫生纸      10.0      5      陈序彪      2015-12-03 15:22:46.0      
201512110001      000009      牙膏      5.0      5      陈序彪      2015-12-11 16:12:37.0      
201512110002      000006      牛奶      5.0      0      陈序彪      2015-12-11 16:35:06.0      
201512160001      000006      牛奶      5.0      2      陈序彪      2015-12-16 16:09:00.0      
201512180001      000006      牛奶      5.0      3      陈序彪      2015-12-18 13:43:45.0      
201512230001      444555      笔记本电脑      4500.0      3      陈序彪      2015-12-23 20:34:58.0      
201512250001      000017      巧克力      15.0      5      陈序彪      2015-12-25 21:56:32.0      
